"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1421","Guest can go to Login page from Product page","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","5811","Guest can add product to basket","tests","2026-07-02","skipped","2026-07-02","TestProductPage","test_product_page","",""
"","714","Guest should see login link on Product page","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","5386","Authorized user see no messages on Product page","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","791","Guest can add product to basket","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","1002","Guest can add product to basket","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","5605","Empty basket opened from Product page has no products","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","1357","Guest can add product to basket","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","961","Guest can add product to basket","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","979","Guest can add product to basket","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","1515","Guest can add product to basket","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","2767","Authorized user can add product to basket","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","1420","Guest can add product to basket","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","2063","Guest can add product to basket","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","1253","Guest should see login link on Main page","tests","2026-07-02","passed","2026-07-02","TestMainPage","test_main_page","",""
"","799","Guest can add product to basket","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
"","6562","Empty basket opened from Main page has no products","tests","2026-07-02","passed","2026-07-02","TestMainPage","test_main_page","",""
"","1269","Guest can go to Login page from Main page","tests","2026-07-02","passed","2026-07-02","TestMainPage","test_main_page","",""
"","5599","Guest see no messages on Product page","tests","2026-07-02","passed","2026-07-02","TestProductPage","test_product_page","",""
